,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
3896,10.86207,76.2931,3.12586,0.0,10.12672
3897,12.31456,100.0,1.72779,0.0,12.67351
3898,4.03634,83.45763,2.34559,0.0,2.63051
3900,11.51741,67.68655,5.29414,20.66667,9.98431
3903,6.56302,83.7541,3.66382,0.0,4.68639
3904,15.38667,64.15,7.46333,0.0,14.373
3905,9.08667,53.6,1.605,0.0,9.2005
3906,5.34483,94.37931,4.39655,0.01552,2.84845
3907,1.71669,92.81311,1.34311,0.0,1.32213
3908,7.31087,98.0,2.47391,0.01304,6.37652
3911,3.50862,98.0,1.46552,0.0,3.14069
3913,8.95333,72.96667,4.89,0.0,7.05367
3914,9.3339,85.4322,2.2451,0.0,8.88678
3915,10.02632,69.68421,1.87193,0.0,9.99018
3917,8.82,100.0,4.21,0.37,6.77
3919,9.53729,58.10169,7.51356,0.0,6.92847
3920,5.45897,73.81233,2.1185,0.329,4.54917
3921,5.10508,98.0,3.4,0.0,3.21356
3922,16.8978,47.53475,4.00063,0.0,17.01915
3923,6.1246,99.9125,3.68167,0.4875,4.44229
3924,8.52436,83.76545,1.23265,0.0,9.022
3926,6.57219,84.02919,0.0,0.0,6.55892
3927,9.38644,78.74576,3.37627,0.0,8.24373
3928,6.871,80.24617,3.20867,0.0,5.433
3929,7.96178,82.645,6.76978,0.0,5.13033
3930,6.70138,98.91379,4.28322,0.00034,4.56138
3931,4.05225,93.68361,0.0,0.0,4.04213
3932,4.445,92.54464,0.0,0.0,4.44161
3934,5.96339,70.17475,1.64721,0.0459,5.51721
3935,1.23321,84.90517,0.28431,0.14793,1.81414
3936,10.51379,42.96552,6.71345,0.0,8.38345
3937,5.76003,78.99067,2.24333,0.0,4.74067
3938,7.34,78.06667,2.265,0.0,6.57517
3939,8.05698,66.08267,3.93133,0.0,6.33783
3940,10.39069,71.17517,4.06517,0.0,9.25466
3942,7.89483,80.3035,0.818,0.0,8.257
3943,9.99448,65.8219,1.78517,0.00034,10.06466
3945,6.85317,92.6566,3.74475,0.0,5.13981
3946,8.8882,65.58492,3.44803,0.37426,7.54082
3950,11.84475,30.5622,3.96186,0.0,11.03407
3952,7.2938,99.26481,1.87994,0.01167,7.07
3953,0.47333,63.55,1.54667,0.0,-0.4485
3955,16.39712,52.03508,4.64119,0.09559,16.19322
3956,12.42339,29.12373,4.14492,0.0,11.56542
3957,9.41,52.63333,1.81667,0.0,9.35333
3958,8.14588,55.76949,5.06966,0.0,5.92475
3959,9.75517,98.0,2.97069,0.00172,8.92
