,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
14146,22.46443,99.86885,1.08197,2.55557,24.15967
14147,23.66667,85.68333,1.98333,0.0,25.4655
14148,18.9469,75.62207,2.34379,0.0,19.8781
14149,28.36033,70.78817,2.05267,0.0,31.4715
14150,19.61839,84.07113,0.65573,0.0,21.6921
14151,23.11322,69.58475,0.0,0.0,23.11322
14152,19.69183,85.83833,1.08353,0.0,21.35367
14153,21.98017,85.44667,5.81485,0.0,22.8545
14154,21.65433,99.42,0.62967,6.47967,23.36017
14155,22.5435,100.0,2.35267,0.00033,24.08217
14156,17.02169,91.04407,0.3769,0.0,18.6078
14157,29.13431,54.00052,2.92448,0.0,30.4131
14159,24.74167,78.91667,3.805,0.0,26.43033
14160,27.44828,67.00069,3.75345,0.00103,29.3569
14161,18.81934,78.35508,2.37656,0.0,19.81721
14162,21.39117,58.26167,6.09255,0.0,22.1305
14164,24.4925,89.49333,3.03933,0.0,26.1995
14165,19.07,75.16424,1.33308,0.0,20.56814
14166,29.655,54.63533,2.91267,0.0,31.24633
14167,24.27517,94.79655,3.6551,0.0,25.93086
14168,30.92172,54.24034,2.83672,0.0,33.28724
14169,17.03632,92.35965,0.39293,0.0,18.73421
14170,22.79833,53.44033,1.53023,0.0,24.58017
14171,24.33741,82.21103,2.27759,0.0,26.025
14172,20.95983,78.98525,5.11576,0.0,21.69576
14173,23.07433,57.76417,1.87793,0.0,24.86
14174,21.81833,92.06667,1.58833,0.0,23.47117
14175,25.05283,64.25683,3.93667,0.0,26.3365
14176,23.55633,72.95533,3.33533,0.0,25.12483
14177,22.29133,98.31833,1.89267,0.0,23.921
14179,22.12933,99.72333,1.81267,0.013,23.7685
14180,21.78246,94.49123,3.28772,0.0,23.00877
14181,23.71183,100.0,2.73533,0.0085,25.3945
14182,22.945,71.704,3.17,0.0,24.4235
14183,21.45644,82.21186,1.21305,0.0,23.17034
14184,25.39831,77.91525,5.30847,0.0,26.68695
14185,24.43667,98.0,1.99333,0.0,26.3455
14186,24.63333,91.77619,1.6081,0.0,26.65762
14187,24.0622,72.74576,6.15546,2.71186,25.43729
14188,24.50458,81.77966,1.65949,0.0,26.46864
14190,23.05424,100.0,2.26695,0.01068,24.71593
14191,24.47864,64.54831,6.29949,0.0,25.94085
14192,19.52169,63.00169,2.92864,0.0,20.42458
14193,23.80333,98.0,1.22167,0.0,25.8195
14194,29.41833,61.48333,4.09833,0.0,32.046
14195,22.14377,100.0,2.64016,0.0,23.56902
14196,22.7075,92.73,0.87432,0.0,24.79967
14197,26.82167,71.33333,3.825,0.0,28.6595
14198,23.57525,63.74017,4.67915,0.0,24.98373
14199,29.24407,59.79661,4.50169,0.0,31.45949
14200,27.98597,58.15839,2.43323,0.0,29.24806
14201,22.81069,54.08,3.30793,0.0,24.19534
14203,26.3665,64.57517,3.04867,0.0,27.53133
14204,29.91565,54.10806,3.23323,0.0029,31.59258
14206,22.32311,64.47557,2.04967,0.0,23.81
14207,22.79717,70.712,0.01917,0.0,23.49867
14208,19.45267,65.80167,2.698,0.0,20.417
14209,23.90429,79.32365,3.17508,0.0,25.57333
14210,24.42356,86.38169,3.23915,0.0,26.18729
14211,21.6445,99.90833,1.085,5.6975,23.285
14212,22.56105,100.0,2.89211,0.0,24.02456
14214,25.66552,90.87931,5.84138,0.0,27.21638
14215,21.61933,79.087,2.25317,0.0,23.054
